question_id,category,question,answer_correct,citation_accurate,unit_fidelity,hallucination,error_class,latency_s,token_estimate,judge_reasoning
5,A,What hoses can be used for boiling water?,0,0,0,0,hallucination,2.486,411,Answer completely misses the topic and context of boiling water hoses
7,A,Which hydraulic hose and sleeve should I get for a particular excavator?,0,0,0,0,hallucination,4.593,429,The AI answer contains a factual claim ('Spiral hose with Rock is better choice') not supported by the ground truth.
11,A,Which products are approved for food use?,0,0,0,0,hallucination,4.259,347,"Answer claims no information about food use is available, despite the ground truth providing specific examples of approved products."
17,A,Do you have hoses that meet the EN 857 standard?,0,0,0,1,hallucination,4.185,342,"The AI answer contains a false claim about the EN 857 standard, which is not supported by the ground truth."
19,A,Do you have a product that can withstand both high pressure and vibrations?,0,0,0,0,hallucination,5.035,1045,"The AI answer provides a product type (ISOBAR 420 CO ROCK X-HP) but lacks specific details and article numbers, and includes unsupported claims about the product's suitability."
20,A,What is the maximum working pressure for this hose at 100 °C?,0,0,0,0,hallucination,4.344,413,"The AI answer fails to acknowledge the need for a specific hose name or part number to provide an accurate answer, instead making a general statement that the maximum working pressure is not specified."
21,A,What hoses can be used for chemicals?,0,0,0,1,hallucination,4.75,510,"Incorrectly claims the HYDROSCAND T1121 is suitable for chemicals, without referencing a specific product code or article number"
22,A,Natural rubber hoses?,0,0,0,0,none,4.268,377,Answer is completely absent from the provided context
31,A,"I need a blue water hose in 3/4""?",0,0,0,0,unknown,4.56,429,Judge response not parseable
33,A,What is the difference between a 2SN and 2SC hose?,0,0,0,0,hallucination,4.446,360,"The AI answer contains a fabricated claim about the difference between 2SN and 2SC hoses, which is not supported by the ground truth."
34,A,Which hydraulic hoses are rated for more than 300 bar working pressure?,0,0,0,0,hallucination,4.868,919,"The AI answer fails to provide any specific information on the working pressure of the mentioned products, instead stating that it couldn't find any information on the working pressure, which is not a hallucination but a correct acknowledgment of the limitation."
44,A,Need suggestions for hose for chemicals.,0,0,0,1,hallucination,5.035,548,"The AI answer contains a fabricated product code (KAPPAFLEX 2K CO) not mentioned in the ground truth, and references a different product (EGEFLEX 1 CO PÅ BOBIN) that is not suitable for chemical applications."
45,A,Hose for alkaline degreasing?,0,0,0,0,hallucination,4.32,375,Answer completely ignores the topic of alkaline degreasing and instead discusses hydraulic engineering products
46,A,What is the ISO standard for textile hose protection?,0,0,0,0,hallucination,4.293,922,"The AI answer claims no ISO standard exists for textile hose protection, which is not supported by the ground truth."
47,A,"The flow is 150 liters per minute, what hose dimension should I choose for pressure?",0,0,0,0,hallucination,4.537,503,"The AI answer fails to provide a direct calculation or recommendation for hose dimension based on the flow rate, instead suggesting that more information is needed."
48,A,"The flow is 20 liters per minute, what hose dimension should I choose for suction/return?",0,0,0,0,hallucination,4.28,411,Answer completely ignores the flow rate and references no source documentation
49,A,"The flow is 100 liters per minute and I can have a maximum pressure drop of 200 millibars, what hose dimension?",0,0,0,0,hallucination,4.416,469,"Answer claims no correct hose dimension is possible without more information, which is incorrect"
63,A,What is the maximum temperature for hose 1071-00-16?,0,0,0,0,hallucination,4.221,403,"Answer claims no information is available, but ground truth clearly states +150°C as max working temperature"
64,A,Which socket fits 1118-12-16?,0,0,0,0,hallucination,4.149,321,"Answer claims the answer cannot be determined, despite the ground truth providing clear information"
70,A,What is ISO bar?,0,0,0,0,hallucination,4.299,399,"The AI answer fails to provide a definition for 'ISO bar', instead stating that the context only provides information about products with the prefix 'ISOBAR', which is not relevant to the question."
71,A,What standards are there for hydraulic hose?,0,0,0,0,hallucination,4.299,417,"Answer completely misses the mark, failing to provide any information about standards for hydraulic hoses."
72,A,Can I use environmental oil in 1105-63?,0,0,0,0,hallucination,4.204,373,AI answer is incorrect and contains a fabricated claim about the product code 1105-63
74,A,Which hose should I use if I have 380bar in the machine?,0,0,0,0,hallucination,4.331,402,"Answer does not provide any information about recommended hoses for a specific pressure, instead stating the context does not contain information about the recommended hose."
76,A,Is there a hose with a smooth outer casing?,1,0,1,0,none,4.245,343,"The AI answer conveys the same core facts as the ground truth, but lacks specific product references."
77,A,How do I install a shell sleeve?,0,0,0,1,hallucination,4.275,376,Answer is entirely fictional and does not reference any source documentation
78,A,Which hoses are DNV classified?,0,0,0,0,hallucination,4.498,715,"The AI answer contains a hose (DELTAFLEx 4 CT) not mentioned in the ground truth, and incorrectly includes KAPPAFLEX 2K CO ROCK, which is not a valid product code."
79,A,Which hoses are FDA approved for food use?,0,0,0,0,hallucination,4.25,371,"Answer does not mention FDA approval of any hoses for food use, despite the ground truth providing specific examples and product codes."
23,B,What sizes does Storz have?,0,0,0,0,hallucination,4.425,337,Answer contains entirely fabricated information about Storz sizes
24,B,Steam connections?,0,0,0,0,hallucination,4.031,291,"Answer does not mention specific product codes or dimensions, and contains no numerical content"
25,B,Camlock seal?,0,0,0,0,unknown,4.111,281,"Judge error: Expecting ',' delimiter: line 7 column 63 (char 191)"
28,B,Which coupling should I use if I want acid-proof?,0,0,0,0,hallucination,4.305,291,"Answer does not provide any information about acid-proof couplings, despite the ground truth answer clearly stating that an acid-resistant coupling should be chosen from specific product families."
29,B,"Which couplings have an o-ring? I need 1/2""",0,0,0,0,hallucination,4.655,363,The AI answer provides fictional product codes without any basis in the ground truth.
30,B,What material are pipe clamps made of?,0,0,0,0,hallucination,4.562,328,"Answer does not contain any information about the material used for pipe clamps, despite the ground truth providing specific details."
32,B,"Is there an adapter from JiC to BSP for 1""?",0,0,0,0,hallucination,4.688,324,"Answer claims no adapter exists, despite the ground truth providing a specific example."
35,B,What is the difference between 6L and 6S clutches?,0,0,0,1,hallucination,5.235,370,"AI answer contains a fabricated claim about the '6L' and '6S' clutches, which is not supported by the ground truth."
36,B,"Is Camlock available in plastic? If so, which plastic?",0,0,0,0,hallucination,4.917,391,"Answer claims Camlock is not available in plastic, despite the ground truth stating it is, with no basis for this claim"
40,B,What sizes are available for Code 62 flanges?,0,0,0,0,hallucination,4.322,360,"Answer claims sizes are available for Code 62 flanges, but the ground truth only mentions common sizes without specifying them."
41,B,"I have a welding flange 5543-02-08, which mating flange should I choose?",0,0,0,0,hallucination,4.524,401,"The AI answer fails to provide any information about the mating flange, instead stating it couldn't find any information, which is not supported by the ground truth."
42,B,Which metric screw should I choose for 5541-00-64?,0,0,0,0,hallucination,6.637,366,"Answer does not reference the specific product code 5541-00-64, instead references a different product code 5549-91-16"
43,B,Which UNC screw should I choose for 5540-02-24?,0,0,0,0,hallucination,4.213,331,Answer does not reference the product code 5540-02-24 and instead provides a different product code 5549-92-10 without any explanation
50,B,"have the hose 14560016, which clamp jaw fits it?",0,0,0,0,hallucination,4.344,368,"Answer claims the hose 14560016 doesn't exist, which is not supported by the ground truth"
54,B,Which ISO B couplings are available to order from Faster?,0,0,0,0,unknown,4.662,412,"Judge error: Expecting ',' delimiter: line 7 column 148 (char 276)"
55,B,"Which dust cover should I choose for ISO 16028 1/2"" female?",0,0,0,1,hallucination,4.612,420,"The AI answer contains a fabricated claim about the dust cover part number, which is not supported by the ground truth."
56,B,"Which gasket kit does Hydroscand have for a 3/4"" Faster VV coupling?",0,0,0,0,hallucination,4.296,334,"The AI answer provides a different product code, which is not supported by the ground truth."
57,B,Are there smooth pipe clamps in the heavy series? ISO 3015-2?,0,0,0,0,hallucination,4.361,371,"Answering the wrong question, failing to acknowledge the existence of smooth pipe clamps in the heavy series according to ISO 3015-2"
58,B,Are there pipe clamps with a bolt for 10mm pipes?,0,0,0,0,hallucination,5.253,468,"The AI answer does not mention Hydroscand or specific part numbers, and incorrectly assumes the product codes from Source 3 and 4 are relevant to 10mm pipes."
59,B,Which weld and cover plate should I choose for 5390-62-12?,0,0,0,0,hallucination,4.38,325,"Answer is incorrect because it claims the AI doesn't have enough information, but the ground truth provides specific product codes and references."
60,B,Is there a corresponding 7013-04-09 with ED sealed G threaded connection?,0,0,0,0,hallucination,4.206,334,"Answer does not provide any information about the product, instead stating there is no information available"
61,B,An 8mm tube with 7793-00-08 and 7792-00-06 what is the tightening torque?,0,0,0,0,hallucination,4.315,383,"Answer claims no information about tightening torque is available, when in fact, the ground truth provides a guideline for 8 mm tube"
62,B,Which O-ring should I choose for an ORFS connection to 14mm pipe?,0,0,0,0,hallucination,4.319,365,The AI answer fails to provide any specific information about the correct O-ring size for a 14mm pipe connection.
68,B,Where can I find assembly instructions for Hydroscand cutting ring couplings?,0,0,0,0,hallucination,4.292,361,"The AI answer contains no factual claims supported by the ground truth, but rather states it couldn't find any information on assembly instructions, which is not a factual claim."
69,B,"How tight should I tighten a G 1/2"" thread?",0,0,0,1,hallucination,4.33,381,Incorrectly stated tightening procedure with no basis in the ground truth
75,B,Tightening torque on JIC coupling?,0,0,0,0,none,4.287,360,Answer is missing key information about tightening torque for JIC couplings
6,C,Which sleeve should I get for hose X?,0,0,0,0,hallucination,4.264,359,Answer is incorrect because it fails to acknowledge the need for specific hose dimensions and type.
9,C,Which coupling fits my existing hose with dimension Y?,0,0,0,0,hallucination,4.249,398,"Answer provides no information about the hose dimension Y, instead stating the context does not contain such information"
12,C,What type of seal can withstand oil and high temperatures?,0,0,0,0,hallucination,4.424,840,"The AI answer contains a fabricated claim about a specific seal type (Dubbla Stålflätor) and its properties, which is not supported by the ground truth."
16,C,What is the recommended tightening torque for this coupling?,0,0,0,0,hallucination,4.159,325,"Answer provides no specific information about the coupling, instead of acknowledging the need for product-specific documentation"
26,C,Which sleeve should I use to crimp a multi-head hose?,0,0,0,1,hallucination,4.208,367,The AI answer contains a factual claim (product 'multi-head' does not exist) not supported by the ground truth
27,C,Which hoses are suitable for the 42 series?,0,0,0,0,hallucination,4.406,366,Incorrectly states that EN2SN hose is suitable for 42 series without referencing specific source documentation
51,C,What classes of acid-resistant pipes for hydraulics are there?,0,0,0,0,hallucination,4.482,707,Answer completely misses the topic and introduces unrelated information about hydraulic hoses and pipes
65,C,What is the working pressure of a 4201-16-16?,0,0,0,1,hallucination,4.147,335,"Answer claims no information about the product code exists, which is not supported by the ground truth"
66,C,What is the working pressure for 4253-24-24?,0,0,0,0,hallucination,4.253,399,"Answer claims no information is available, but the ground truth provides a clear working pressure value."
67,C,What is the working pressure for 4743-20-20?,0,0,0,0,hallucination,4.334,384,"Answer claims the product code 4743-20-20 is not found, when in fact the ground truth provides a valid working pressure for a similar product code"
73,C,What is the difference between the 42 series and the 47 series?,0,0,0,0,unknown,4.341,325,"Judge error: Expecting ',' delimiter: line 7 column 121 (char 249)"
8,D,What is the difference between product A and B?,0,0,0,0,hallucination,4.231,274,The AI answer assumes the existence of 'product A' and 'product B' without specifying which products are being compared.
10,D,What is a replacement product for discontinued item number Z?,0,0,0,0,hallucination,4.133,303,"AI answer fails to acknowledge the need for specific part number information, instead providing a generic response"
13,D,What components are needed to build a complete hydraulic system?,0,0,0,0,hallucination,5.377,911,The AI answer contains a fabricated claim about the context not providing information on other essential components of a hydraulic system.
14,D,Can I use this product in an ATEX environment?,0,0,0,0,hallucination,4.226,429,Answer is incorrect and contains a misleading statement
15,D,Is this product compatible with glycol/water mixture?,0,0,0,0,hallucination,4.257,341,Answer does not acknowledge the need for specific product information
18,D,What is the lifespan or maintenance intervals of product X?,0,0,0,0,hallucination,4.322,376,"AI answer claims no information is provided about product X, despite the context clearly mentioning product X."
37,D,"How many millimeters is 1/8""?",1,1,1,0,none,4.61,418,"The AI answer conveys the correct conversion factor and units, and does not contain any unsupported claims."
38,D,Thread that is 12.4 mm internally?,0,0,0,0,hallucination,4.763,444,"The AI answer fails to provide any information about the thread with an internal diameter of 12.4 mm, instead providing unrelated internal diameters from other sources."
39,D,Thread that is 35.7 mm outside?,0,0,0,0,hallucination,4.583,403,"Answer does not acknowledge the existence of a thread with a specific length outside, instead asking for clarification"
52,D,Which bravo connection plate should I get for my pump with part number 25-211200-24?,0,0,0,0,hallucination,4.35,375,"The AI answer fails to provide any specific product code or reference, and instead states it cannot determine the correct connection plate due to insufficient information."
53,D,What maximum working pressure is 427012062 rated for?,0,0,0,0,hallucination,4.317,400,"The AI answer contains a fabricated claim about the product category and part number, which is not supported by the ground truth."
